X	Y
-6.576577 -6.648882
-6.546547 -6.712296
-6.516517 -2.859148
-6.486486 -4.893386
-6.456456 -6.794320
-6.426426 -4.686769
-6.396396 -3.300859
-6.366366 -5.242077
-6.336336 -5.980805
-6.306306 -4.228490
-6.276276 -3.530162
-6.246246 -3.071160
-6.216216 -3.257442
-6.186186 -4.719825
-6.156156 -6.816138
-6.126126 -5.330066
-6.096096 -2.511495
-6.066066 -7.291667
-6.036036 -4.382823
-6.006006 -3.489665
-5.975976 -4.892902
-5.945946 -6.804823
-5.915916 -1.719520
-5.885886 -1.869912
-5.855856 -4.083599
-5.825826 -5.287612
-5.795796 -4.515857
-5.765766 -5.078981
-5.735736 -2.229647
-5.705706 -5.392949
-5.675676 -4.540258
-5.645646 -5.628179
-5.615616 -1.344353
-5.585586 -5.438042
-5.555556 -2.772369
-5.525526 -3.786495
-5.495495 -5.996887
-5.465465 -2.587600
-5.435435 -2.101497
-5.405405 -4.734875
-5.375375 -4.098073
-5.345345 -1.745153
-5.315315 -6.903999
-5.285285 -1.083688
-5.255255 -3.598593
-5.225225 -6.713736
-5.195195 -3.811484
-5.165165 -5.817706
-5.135135 -1.906512
-5.105105 -3.186882
-5.075075 -2.984419
-5.045045 -5.725649
-5.015015 -1.842471
-4.984985 -6.138131
-4.954955 -6.201179
-4.924925 -2.384652
-4.894895 -4.941673
-4.864865 -1.162318
-4.834835 -5.074910
-4.804805 -4.756172
-4.774775 -5.915139
-4.744745 -2.340869
-4.714715 -1.714321
-4.684685 -2.456711
-4.654655 -3.085938
-4.624625 -2.186737
-4.594595 -5.136348
-4.564565 -5.768505
-4.534535 -6.608310
-4.504505 -6.234638
-4.474474 -1.745911
-4.444444 -1.450244
-4.414414 -5.285197
-4.384384 -5.837701
-4.354354 -3.194734
-4.324324 -6.411137
-4.294294 -5.796674
-4.264264 -3.734901
-4.234234 -1.931315
-4.204204 -2.310413
-4.174174 -3.149302
-4.144144 -5.949311
-4.114114 -3.754966
-4.084084 -5.146301
-4.054054 -2.163297
-4.024024 -4.581153
-3.993994 -3.685797
-3.963964 -4.894022
-3.933934 -2.804050
-3.903904 -3.058449
-3.873874 -2.464494
-3.843844 -5.258094
-3.813814 -3.177095
-3.783784 -0.406316
-3.753754 -1.992665
-3.723724 -0.601079
-3.693694 -4.992872
-3.663664 -4.099531
-3.633634 -5.027778
-3.603604 -0.109473
-3.573574 -3.318552
-3.543544 -0.057768
-3.513514 -5.443488
-3.483483 -2.260160
-3.453453 -5.427490
-3.423423 -3.350153
-3.393393 -0.370078
-3.363363 -5.651241
-3.333333 -0.556783
-3.303303 -4.167059
-3.273273 -4.526014
-3.243243 -1.258089
-3.213213 -3.390841
-3.183183 -4.625983
-3.153153 -2.052048
-3.123123 -2.178269
-3.093093 -3.076121
-3.063063 -2.970340
-3.033033 -2.164160
-3.003003 -1.925441
-2.972973 -0.587689
-2.942943 -0.726362
-2.912913 -1.933121
-2.882883 -1.338984
-2.852853 -2.252583
-2.822823 -3.378956
-2.792793 -4.506795
-2.762763 -1.167640
-2.732733 -2.246954
-2.702703 -0.129882
-2.672673 -4.085870
-2.642643 -4.392090
-2.612613 -1.880047
-2.582583 -1.300009
-2.552553 -1.966041
-2.522523 -3.348588
-2.492492 -2.472276
-2.462462 -4.939389
-2.432432 -0.959894
-2.402402 -1.714735
-2.372372 -1.647408
-2.342342 -1.205619
-2.312312 -0.507840
-2.282282 -4.422996
-2.252252 -1.844117
-2.222222 -0.076604
-2.192192 0.203681
-2.162162 -1.560102
-2.132132 -0.864887
-2.102102 -4.954364
-2.072072 -1.189658
-2.042042 0.680214
-2.012012 -3.271563
-1.981982 -1.729094
-1.951952 -3.292004
-1.921922 -4.066072
-1.891892 -4.440958
-1.861862 0.139324
-1.831832 0.049725
-1.801802 -0.574375
-1.771772 -4.093644
-1.741742 -3.044109
-1.711712 -4.512168
-1.681682 -4.511311
-1.651652 -1.107700
-1.621622 -0.016233
-1.591592 -1.648359
-1.561562 -2.212033
-1.531532 -2.430359
-1.501502 -3.074418
-1.471471 -2.056195
-1.441441 -1.824984
-1.411411 -3.898957
-1.381381 -2.859310
-1.351351 -0.352211
-1.321321 -2.879568
-1.291291 0.214585
-1.261261 1.026259
-1.231231 0.529237
-1.201201 -0.343344
-1.171171 -2.875828
-1.141141 1.005153
-1.111111 -3.878110
-1.081081 -4.229741
-1.051051 0.102975
-1.021021 -1.441991
-0.990991 -0.914322
-0.960961 1.181875
-0.930931 -4.103866
-0.900901 0.733687
-0.870871 -0.579643
-0.840841 -2.552722
-0.810811 -3.839318
-0.780781 -1.420479
-0.750751 -3.070917
-0.720721 -2.674356
-0.690691 1.121112
-0.660661 -1.074447
-0.630631 -0.387289
-0.600601 -3.659541
-0.570571 -1.374190
-0.540541 -2.037293
-0.510511 -1.313878
-0.480480 0.482749
-0.450450 -1.204493
-0.420420 -1.948531
-0.390390 -0.096421
-0.360360 -1.015147
-0.330330 -0.553032
-0.300300 -1.802273
-0.270270 -4.120700
-0.240240 0.108558
-0.210210 -3.517648
-0.180180 -0.365632
-0.150150 1.092790
-0.120120 -1.120348
-0.090090 0.432010
-0.060060 -1.053261
-0.030030 -1.736690
-0.000000 0.712180
0.030030 -0.665788
0.060060 -1.822742
0.090090 1.786319
0.120120 -0.145560
0.150150 -2.853830
0.180180 -1.650482
0.210210 -3.088877
0.240240 0.598373
0.270270 1.866359
0.300300 -0.154696
0.330330 -3.642286
0.360360 -1.812882
0.390390 -3.439149
0.420420 0.077991
0.450450 -2.950174
0.480480 1.359836
0.510511 1.480632
0.540541 -0.106633
0.570571 0.659263
0.600601 1.470571
0.630631 -3.547829
0.660661 -2.859755
0.690691 0.646215
0.720721 0.118980
0.750751 -2.261155
0.780781 -3.153513
0.810811 -2.518358
0.840841 0.230081
0.870871 -1.451303
0.900901 -1.563424
0.930931 -1.257137
0.960961 0.520813
0.990991 1.386505
1.021021 1.430760
1.051051 -0.233960
1.081081 0.290778
1.111111 1.430587
1.141141 2.062445
1.171171 -2.454962
1.201201 0.474574
1.231231 -0.874646
1.261261 -1.749608
1.291291 -2.435234
1.321321 1.894003
1.351351 -2.822812
1.381381 -0.635608
1.411411 0.254986
1.441441 -1.354068
1.471471 0.137863
1.501502 -1.779734
1.531532 -1.247671
1.561562 -2.434654
1.591592 1.767137
1.621622 -2.255504
1.651652 -1.340922
1.681682 1.699579
1.711712 2.359637
1.741742 1.743411
1.771772 1.485716
1.801802 0.731607
1.831832 -0.775638
1.861862 2.214874
1.891892 -1.536763
1.921922 2.291116
1.951952 -1.496411
1.981982 -1.358403
2.012012 0.416068
2.042042 3.087967
2.072072 -2.480864
2.102102 -2.297810
2.132132 0.379032
2.162162 -0.190867
2.192192 -2.166327
2.222222 -1.164218
2.252252 2.649562
2.282282 -1.285736
2.312312 -1.785687
2.342342 -1.897076
2.372372 2.959521
2.402402 -2.132306
2.432432 -2.313094
2.462462 -2.225991
2.492492 -0.542526
2.522523 2.944584
2.552553 -0.134670
2.582583 0.087753
2.612613 3.185385
2.642643 2.548833
2.672673 0.748427
2.702703 2.612990
2.732733 1.738943
2.762763 -0.018798
2.792793 -0.832601
2.822823 -2.344241
2.852853 0.800634
2.882883 3.393246
2.912913 0.073934
2.942943 -0.854314
2.972973 1.229799
3.003003 -0.735407
3.033033 1.855191
3.063063 3.440142
3.093093 0.398793
3.123123 3.144486
3.153153 -2.136495
3.183183 3.483675
3.213213 1.464452
3.243243 2.589428
3.273273 1.349892
3.303303 -1.238258
3.333333 -0.741535
3.363363 0.239883
3.393393 -2.015188
3.423423 0.484037
3.453453 -1.512663
3.483483 1.970784
3.513514 3.159117
3.543544 -1.565023
3.573574 2.929563
3.603604 2.052953
3.633634 2.246810
3.663664 2.931404
3.693694 1.313377
3.723724 2.263666
3.753754 -0.976176
3.783784 2.321597
3.813814 2.569288
3.843844 2.885646
3.873874 -1.577011
3.903904 3.465993
3.933934 2.138380
3.963964 2.527983
3.993994 -1.181356
4.024024 1.635201
4.054054 4.028039
4.084084 -1.289381
4.114114 0.025116
4.144144 -0.736318
4.174174 4.300643
4.204204 2.147200
4.234234 0.198108
4.264264 3.996872
4.294294 0.684518
4.324324 2.663891
4.354354 -0.174205
4.384384 -0.533160
4.414414 -0.008055
4.444444 1.694637
4.474474 3.997017
4.504505 -0.760815
4.534535 4.033890
4.564565 1.285702
4.594595 -0.866643
4.624625 3.362615
4.654655 -0.281902
4.684685 4.551074
4.714715 3.377274
4.744745 3.961707
4.774775 0.020550
4.804805 1.513763
4.834835 -1.186084
4.864865 3.312531
4.894895 -0.489645
4.924925 1.271642
4.954955 0.727562
4.984985 4.833770
5.015015 -0.873127
5.045045 0.425255
5.075075 0.065751
5.105105 0.433563
5.135135 -0.114180
5.165165 2.704025
5.195195 4.311682
5.225225 4.651296
5.255255 0.208048
5.285285 3.729399
5.315315 2.942147
5.345345 3.026687
5.375375 4.558353
5.405405 1.853562
5.435435 4.665907
5.465465 3.140534
5.495495 0.077394
5.525526 3.008212
5.555556 2.624720
5.585586 1.757082
5.615616 4.900309
5.645646 2.502961
5.675676 2.748272
5.705706 2.512917
5.735736 0.843253
5.765766 1.710592
5.795796 1.447770
5.825826 -0.416725
5.855856 4.152388
5.885886 0.577270
5.915916 -0.162740
5.945946 1.769391
5.975976 2.994712
6.006006 -0.106881
6.036036 0.670917
6.066066 0.437576
6.096096 3.385606
6.126126 2.262895
6.156156 3.180040
6.186186 3.755684
6.216216 2.236720
6.246246 3.713087
6.276276 2.002772
6.306306 4.655261
6.336336 3.211556
6.366366 0.873170
6.396396 5.389729
6.426426 4.966319
6.456456 2.077867
6.486486 5.669716
6.516517 0.874163
6.546547 5.153960
6.576577 3.243688
6.606607 2.466690
6.636637 3.595695
6.666667 4.100108
6.696697 0.164078
6.726727 1.597048
6.756757 1.462220
6.786787 2.364168
6.816817 5.307620
6.846847 4.214206
6.876877 4.341045
6.906907 5.364028
6.936937 2.366443
6.966967 2.406852
6.996997 5.462918
7.027027 1.908675
7.057057 2.403017
7.087087 3.515176
7.117117 2.230411
7.147147 4.528580
7.177177 4.615867
7.207207 4.579370
7.237237 4.615019
7.267267 1.031661
7.297297 1.414122
7.327327 1.865982
7.357357 4.330416
7.387387 5.731891
7.417417 2.489486
7.447447 3.405716
7.477477 0.973394
7.507508 5.779086
7.537538 1.570220
7.567568 3.476898
7.597598 4.315489
7.627628 3.034936
7.657658 4.547009
7.687688 0.981047
7.717718 0.933197
7.747748 0.927829
7.777778 0.657316
7.807808 2.638337
7.837838 2.368557
7.867868 4.726237
7.897898 1.415898
7.927928 2.946282
7.957958 1.001585
7.987988 4.666312
8.018018 4.978825
8.048048 1.838779
8.078078 4.828009
8.108108 4.375484
8.138138 4.627936
8.168168 3.979849
8.198198 1.323033
8.228228 4.022764
8.258258 1.065646
8.288288 6.632714
8.318318 3.586787
8.348348 6.639740
8.378378 5.204458
8.408408 4.040363
8.438438 4.951466
8.468468 5.046077
8.498498 3.139284
8.528529 3.255684
8.558559 1.241039
8.588589 5.817293
8.618619 1.993327
8.648649 1.358240
8.678679 2.873976
8.708709 5.734845
8.738739 2.320132
8.768769 2.994106
8.798799 3.987976
8.828829 1.152260
8.858859 3.753844
8.888889 4.179153
8.918919 4.785010
8.948949 5.717903
8.978979 3.590461
9.009009 3.300173
9.039039 6.274571
9.069069 6.889950
9.099099 4.993228
9.129129 7.254408
9.159159 1.608854
9.189189 4.682498
9.219219 6.504029
9.249249 3.660623
9.279279 3.195829
9.309309 3.080046
9.339339 1.552292
9.369369 5.084813
9.399399 3.773863
9.429429 1.555781
9.459459 1.647645
9.489489 4.212974
9.519520 6.643715
9.549550 7.134029
9.579580 3.942162
9.609610 5.911830
9.639640 5.234994
9.669670 6.433032
9.699700 6.852665
9.729730 5.113052
9.759760 5.204916
9.789790 2.126212
9.819820 6.428532
9.849850 4.460030
9.879880 5.247900
9.909910 5.258096
9.939940 5.154031
9.969970 6.652555
10.000000 5.810003
10.030030 3.852305
10.060060 1.869521
10.090090 3.429386
10.120120 3.892233
10.150150 3.252752
10.180180 6.503648
10.210210 4.125343
10.240240 7.131420
10.270270 2.630676
10.300300 6.300347
10.330330 5.737772
10.360360 7.345246
10.390390 3.097012
10.420420 5.229648
10.450450 7.445601
10.480480 6.731410
10.510511 7.859499
10.540541 3.269763
10.570571 7.512205
10.600601 6.904768
10.630631 7.857987
10.660661 7.247803
10.690691 7.514355
10.720721 5.961882
10.750751 3.319715
10.780781 5.925877
10.810811 3.831578
10.840841 3.762853
10.870871 6.669501
10.900901 7.022298
10.930931 3.336581
10.960961 6.611648
10.990991 5.231299
11.021021 2.851896
11.051051 7.219586
11.081081 7.529719
11.111111 3.162829
11.141141 4.277185
11.171171 5.889603
11.201201 5.304872
11.231231 7.056637
11.261261 3.652911
11.291291 6.885679
11.321321 8.506521
11.351351 2.645811
11.381381 6.456843
11.411411 6.738227
11.441441 3.650551
11.471471 3.055749
11.501502 4.290226
11.531532 6.717488
11.561562 7.708611
11.591592 6.032354
11.621622 4.937109
11.651652 7.404107
11.681682 4.139545
11.711712 6.591161
11.741742 4.169094
11.771772 4.024012
11.801802 8.640001
11.831832 4.521593
11.861862 2.985782
11.891892 7.481101
11.921922 3.794102
11.951952 3.182271
11.981982 2.973283
12.012012 5.026633
12.042042 6.815753
12.072072 5.029264
12.102102 5.474533
12.132132 5.503589
12.162162 3.565851
12.192192 6.310261
12.222222 7.252127
12.252252 5.101796
12.282282 7.036307
12.312312 8.366001
12.342342 6.338721
12.372372 6.563341
12.402402 3.484454
12.432432 5.972509
12.462462 4.755129
12.492492 5.773352
12.522523 8.409910
12.552553 6.166742
12.582583 3.789171
12.612613 6.676774
12.642643 7.555650
12.672673 7.987368
12.702703 8.519248
12.732733 8.454552
12.762763 5.126634
12.792793 8.572177
12.822823 7.272763
12.852853 7.901692
12.882883 8.409767
12.912913 8.048981
12.942943 8.704094
12.972973 8.939884
13.003003 8.982491
13.033033 6.656374
13.063063 6.182974
13.093093 4.205134
13.123123 5.700727
13.153153 8.532299
13.183183 6.177616
13.213213 4.647665
13.243243 3.651117
13.273273 7.608089
13.303303 8.321982
13.333333 4.080339
13.363363 4.254237
13.393393 6.046654
13.423423 7.853353
13.453453 8.613023
13.483483 4.709221
13.513514 4.659174
13.543544 4.110149
13.573574 5.913552
13.603604 3.965376
13.633634 9.741923
13.663664 7.774520
13.693694 4.227967
13.723724 9.408304
13.753754 7.765557
13.783784 6.548360
13.813814 4.101756
13.843844 5.448297
13.873874 6.361780
13.903904 7.951493
13.933934 8.736066
13.963964 4.199065
13.993994 9.035703
14.024024 4.927366
14.054054 7.919709
14.084084 7.433858
14.114114 10.049725
14.144144 6.946667
14.174174 5.472199
14.204204 6.004994
14.234234 8.911092
14.264264 6.290715
14.294294 7.136448
14.324324 7.918274
14.354354 4.902560
14.384384 10.211442
14.414414 8.857094
14.444444 5.244805
14.474474 7.095268
14.504505 8.643963
14.534535 10.384010
14.564565 9.061890
14.594595 8.276103
14.624625 8.170757
14.654655 10.137495
14.684685 8.607178
14.714715 6.234367
14.744745 7.915818
14.774775 6.272522
14.804805 7.836965
14.834835 8.839074
14.864865 6.060856
14.894895 7.879640
14.924925 7.572688
14.954955 10.346580
14.984985 8.670507
15.015015 9.259883
15.045045 8.426487
15.075075 7.378119
15.105105 9.513502
15.135135 9.211494
15.165165 10.689143
15.195195 6.000710
15.225225 8.567137
15.255255 10.266533
15.285285 8.372740
15.315315 10.352662
15.345345 7.892874
15.375375 7.813346
15.405405 7.592639
15.435435 10.247692
15.465465 10.571375
15.495495 6.043896
15.525526 6.475431
15.555556 6.199059
15.585586 9.381288
15.615616 10.662459
15.645646 8.783498
15.675676 5.298471
15.705706 8.915772
15.735736 5.292130
15.765766 8.440484
15.795796 8.386591
15.825826 7.815044
15.855856 5.522619
15.885886 11.147916
15.915916 5.955561
15.945946 8.811853
15.975976 5.525867
16.006006 6.277847
16.036036 9.219834
16.066066 7.270376
16.096096 7.188834
16.126126 9.231930
16.156156 7.790971
16.186186 7.910119
16.216216 6.692189
16.246246 9.450883
16.276276 6.395800
16.306306 8.399710
16.336336 8.477658
16.366366 10.265496
16.396396 8.076895
16.426426 5.510902
16.456456 7.538067
16.486486 7.773856
16.516517 6.307262
16.546547 10.517111
16.576577 9.970283
16.606607 10.934672
16.636637 9.465148
16.666667 9.526066
16.696697 8.726729
16.726727 10.061001
16.756757 10.097566
16.786787 11.434402
16.816817 8.504201
16.846847 7.906102
16.876877 6.416986
16.906907 11.189168
16.936937 10.705881
16.966967 8.524604
16.996997 6.465279
17.027027 11.047210
17.057057 10.416151
17.087087 6.099983
17.117117 8.382587
17.147147 11.516659
17.177177 6.323754
17.207207 6.923752
17.237237 7.219601
17.267267 6.670760
17.297297 9.533277
17.327327 6.714042
17.357357 9.730922
17.387387 9.519188
17.417417 10.197740
17.447447 10.462644
17.477477 11.584507
17.507508 10.126336
17.537538 7.916311
17.567568 10.995815
17.597598 8.429090
17.627628 12.162300
17.657658 10.829744
17.687688 7.438469
17.717718 7.252737
17.747748 8.576206
17.777778 7.351318
17.807808 9.767228
17.837838 7.472422
17.867868 12.076875
17.897898 7.474870
17.927928 8.641047
17.957958 8.192001
17.987988 7.110306
18.018018 7.591648
18.048048 6.697459
18.078078 11.064417
18.108108 11.020962
18.138138 11.758292
18.168168 6.500017
18.198198 9.198467
18.228228 9.082317
18.258258 11.350639
18.288288 9.326838
18.318318 9.545232
18.348348 11.089716
18.378378 8.041775
18.408408 9.984525
18.438438 7.201912
18.468468 12.194926
18.498498 12.043070
18.528529 11.839576
18.558559 7.072588
18.588589 9.677468
18.618619 10.541694
18.648649 11.250093
18.678679 11.320533
18.708709 8.335949
18.738739 12.278272
18.768769 11.588069
18.798799 8.051221
18.828829 10.187886
18.858859 7.195611
18.888889 10.038535
18.918919 11.665053
18.948949 11.165102
18.978979 7.101810
19.009009 11.365310
19.039039 10.312364
19.069069 12.494807
19.099099 12.280143
19.129129 11.825787
19.159159 8.894121
19.189189 9.448524
19.219219 9.987545
19.249249 7.429060
19.279279 11.042699
19.309309 7.153362
19.339339 11.777042
19.369369 11.720036
19.399399 8.518648
19.429429 8.146142
19.459459 7.580088
19.489489 11.275944
19.519520 7.465712
19.549550 9.362135
19.579580 11.491476
19.609610 12.110517
19.639640 9.956524
19.669670 13.246606
19.699700 11.186915
19.729730 9.162747
19.759760 10.270145
19.789790 12.671772
19.819820 7.918701
19.849850 8.066231
19.879880 8.336994
19.909910 8.353050
19.939940 13.020310
19.969970 9.382019
20.000000 9.789933
